patient_id,micro_f1_strict_1x,micro_f1_strict_2x,micro_f1_strict_5x,micro_f1_strict_10x,micro_f1_strict_16x,micro_f1_strict_32x,micro_f1_soft_1x,micro_f1_soft_2x,micro_f1_soft_5x,micro_f1_soft_10x,micro_f1_soft_16x,micro_f1_soft_32x,delta_strict_2x_minus_1x,delta_soft_2x_minus_1x,delta_strict_5x_minus_1x,delta_soft_5x_minus_1x,delta_strict_10x_minus_1x,delta_soft_10x_minus_1x,delta_strict_16x_minus_1x,delta_soft_16x_minus_1x,delta_strict_32x_minus_1x,delta_soft_32x_minus_1x
patient_01,0.2745098039215686,0.125,0.125,0.125,0.125,0.125,0.2745098039215686,0.125,0.125,0.125,0.125,0.125,-0.1495098039215686,-0.1495098039215686,-0.1495098039215686,-0.1495098039215686,-0.1495098039215686,-0.1495098039215686,-0.1495098039215686,-0.1495098039215686,-0.1495098039215686,-0.1495098039215686
patient_02,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,-0.5714285714285714,-0.5714285714285714,-0.5714285714285714,-0.5714285714285714,-0.5714285714285714,-0.5714285714285714,-0.5714285714285714,-0.5714285714285714
patient_03,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient_04,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333
patient_05,0.35294117647058826,0.35294117647058826,0.0,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.35294117647058826,0.35294117647058826,0.0,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.0,0.0,-0.35294117647058826,-0.35294117647058826,-0.23529411764705888,-0.23529411764705888,-0.23529411764705888,-0.23529411764705888,-0.23529411764705888,-0.23529411764705888
patient_06,0.6,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.6,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.0,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999
patient_07,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4761904761904761,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4761904761904761,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,-0.09523809523809529,-0.09523809523809529,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857
patient_08,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.5490196078431372,0.5882352941176471,0.4705882352941176,0.4705882352941176,0.0,0.0,0.0,0.0784313725490196,0.0,0.1176470588235295,0.0,0.0,0.0,0.0
patient_09,0.4666666666666666,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4666666666666666,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,-0.2666666666666666,-0.2666666666666666,-0.2666666666666666,-0.2666666666666666,-0.2666666666666666,-0.2666666666666666,-0.2666666666666666,-0.2666666666666666,-0.2666666666666666,-0.2666666666666666
patient_10,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,-0.16190476190476188,-0.16190476190476188,-0.16190476190476188,-0.16190476190476188,-0.16190476190476188,-0.16190476190476188
