patient_id,F1_1x,F1_32x,RSS_32x,monotonic_decrease,monotonic_increase
patient_01,0.2745098039215686,0.125,0.1495098039215686,1,0
patient_02,0.7142857142857143,0.1428571428571428,0.5714285714285715,1,0
patient_03,0.4444444444444444,0.4444444444444444,0.0,0,0
patient_04,0.6666666666666666,0.3333333333333333,0.3333333333333333,1,0
patient_05,0.35294117647058815,0.1176470588235294,0.23529411764705876,0,0
patient_06,0.6,0.20000000000000004,0.3999999999999999,1,0
patient_07,0.5714285714285714,0.2857142857142857,0.2857142857142857,1,0
patient_08,0.4705882352941176,0.4705882352941176,0.0,0,0
patient_09,0.4666666666666666,0.20000000000000004,0.2666666666666666,1,0
patient_10,0.42857142857142855,0.2666666666666666,0.16190476190476194,1,0
