patient_id,repetition,pdf_pages,extracted_chars
patient_01,5,3,3599
patient_01,10,6,7199
patient_01,16,9,11519
patient_02,5,3,2709
patient_02,10,5,5419
patient_02,16,8,8671
patient_03,5,3,2894
patient_03,10,5,5789
patient_03,16,8,9263
patient_04,5,2,1959
patient_04,10,4,3919
patient_04,16,7,6271
patient_05,5,3,2504
patient_05,10,5,5009
patient_05,16,8,8015
patient_06,5,2,1939
patient_06,10,4,3879
patient_06,16,6,6207
patient_07,5,2,2174
patient_07,10,4,4349
patient_07,16,7,6959
patient_08,5,3,2724
patient_08,10,5,5449
patient_08,16,8,8719
patient_09,5,2,1834
patient_09,10,4,3669
patient_09,16,6,5871
patient_10,5,3,2494
patient_10,10,5,4989
patient_10,16,7,7983
